,Condition,Drugs
1054,Recalcitrant Dermatophytosis,[Ketoconazole]
1055,Proliferating Infantile Hemangioma,[Propranolol]
1056,Phenylketonuria (PKU),[Sapropterin]
1057,CNS Infection,[Metronidazole]
1058,Urinary tract infection caused by klebsiella,[Pivmecillinam]
1059,Acute Myelocytic Leukemia,[Cyclophosphamide]
1060,Acute maxillary sinusitis caused by H. influenzae,[Cefdinir]
1061,Hemorrhagic episodes,[Antihemophilic factor human]
1062,"Asthma, Allergic",[Ketotifen]
1063,Advanced uterine sarcoma,[Doxorubicin]
1064,Penile Cancer,[Bleomycin]
1065,Mild to moderate joint pain,[Diclofenac]
1066,Non-q wave myocardial infarction,[Nadroparin]
1067,"Active confirmed by clinical features, confirmed by imaging features relapsing multiple sclerosis (MS)",[Cladribine]
1068,Platelet Aggregation,[Sulfinpyrazone]
1069,Locally recurrent radioactive iodine-refractory Thyroid cancer,[Lenvatinib]
1070,Mucopolysaccharidosis VII,[Vestronidase alfa]
1071,Meningiomas,[Hydroxyurea]
1072,Multidrug resistant Streptococcus pneumoniae infection,[Gemifloxacin]
1073,Flu Symptoms,[Doxylamine]
1074,"Endocarditis, Subacute Bacterial",[Procaine benzylpenicillin]
1075,Menopausal Symptoms,[Phenobarbital]
1076,Other and unspecified effects of high altitude,[Acetazolamide]
1077,Unresponsive Bradycardia,[Epinephrine]
1078,Non-infectious Diarrhea,[Crofelemer]
1079,"Infection and inflammatory reaction due to internal prosthetic device, implant, and graft",[Cefadroxil]
1080,Wound Infections,[Levofloxacin]
1081,Gastrointestinal spastic and hypermotility disorders,[Butylscopolamine]
1082,Lice of the pubic area,[Permethrin]
1083,Premenstrual tension with edema,[Hydrochlorothiazide]
1084,Canker sores oral,[Perboric acid]
1085,Uncontrolled Hypertension,[Benazepril]
1086,Whooping Cough,[Erythromycin]
1087,Arthralgia/joint pain,[Baclofen]
1088,Conjunctivitis caused by Haemophilus influenzae,[Ciprofloxacin]
1089,Intestinal stoma leak,[Loperamide]
1090,Lambert-Eaton Myasthenic Syndrome (LEMS),[Amifampridine]
1091,Subcutaneous bacterial infection,[Ampicillin]
1092,Corneal cystine crystal accumulation,[Cysteamine]
1093,Medullary Thyroid Cancer (MTC),[Pentagastrin]
1094,Resuscitation in cardiac arrest following anesthetic accidents,[Epinephrine]
1095,Mucormycosis,[Posaconazole]
1096,"Acute bacterial exacerbation of COPD caused by Haemophilus Influenza Infections, Moraxella Catarrhalis Infection, Streptococcus Pneumoniae Infections",[Azithromycin]
1097,Acute Bacterial Skin and Skin Structure Infections caused by Klebsiella Pneumoniae,[Delafloxacin]
1098,"Refractory, metastatic Ovarian cancer",[Topotecan]
1099,Renal Angiomyolipomas,[Sirolimus]
1100,Intraoperative Hypertension,[Esmolol]
1101,Recurrent platinum drug resistant Fallopian tube cancer,[Bevacizumab]
1102,Hereditary angioedema breakthrough attack,[Icatibant]
1103,Intraocular Pressure,[Dipivefrin]
1104,Ejection fraction of 40% or less Left ventricular dysfunction,[Captopril]
1105,Light chain amyloidosis,[Lenalidomide]
1106,Bladder transitional cell carcinoma,[Doxorubicin]
1107,Stage 4 islet cell carcinoma,[Streptozocin]
1108,Severe Cancer pain,[Clonidine]
1109,Cardiovascular Risk Reduction,[Liraglutide]
1110,Intertrigini,[Bendazac]
1111,Acute skin and subcutaneous tissue bacterial infections,[Ceftaroline fosamil]
1112,"Mild, moderate Cataracts",[Bendazac]
1113,Pleural mesothelioma malignant,[Carboplatin]
1114,Metastatic Hepatic Cancer,[Floxuridine]
1115,Herpes simplex of the genitals,[Famciclovir]
1116,Endogenous Cushing's Syndrome,[Ketoconazole]
1117,Heterozygous Familial Hypercholesterolemia (HeFH),[Pitavastatin]
1118,Recurrent Endometrial Cancer,[Cisplatin]
1119,Deep Vein Thrombosis caused by Major Abdominal Surgery,[Danaparoid]
1120,Balantidiasis,[Metronidazole]
1121,Otitis media acute caused by Haemophilus Influenzae,[Acetyl sulfisoxazole]
1122,Acute Pericarditis,[Ketorolac]
1123,Bacterial Infection caused by Acinetobacter species,[Kanamycin]
1124,Perioperative arrhythmia,[Bisoprolol]
1125,Complicated skin infection bacterial,[Meropenem]
1126,Fungal Infection of the umbilical cord area,[Gentian violet cationCommonly known or available as Gentian Violet]
1127,Streptococcal impetigo,[Retapamulin]
1128,"Acute, superficial, symptomatic Vein Thrombosis",[Fondaparinux]
1129,Uncomplicated Varicose vein,[Sodium Tetradecyl Sulfate]
1130,Acute Prostatitis,[Cephalexin]
1131,Behcet's Syndrome,[Colchicine]
1132,Extrapyramidal symptoms caused by dibenzoxazepines,[Trihexyphenidyl]
1133,Trachoma inclusion conjunctivitis,[Doxycycline]
1134,Secondary Carnitine deficiency,[Levocarnitine]
1135,Occular inflammatory conditions,[Bupivacaine]
1136,Refractory Fungal Infections,[Voriconazole]
1137,Advanced squamous cell carcinoma of the head and neck,[Cetuximab]
1138,Tinea pedis of the interdigital,[Econazole]
1139,Compensated liver disease,[Peginterferon alfa-2a]
1140,Actinic Cheilitis,[Aminolevulinic acid]
1141,Metastatic Adenocarcinoma of the Gastro-Esophageal Junction,[Trastuzumab]
1142,Acute Bacterial Skin and Skin Structure Infections caused by Escherichia Coli,[Delafloxacin]
1143,Tooth Pain,[Benzocaine]
1144,Severe Exacerbation of asthma,[Magnesium sulfate]
1145,Acute pelvic inflammatory disease caused by Neisseria Gonorrheae Infection,[Erythromycin]
1146,Extraintestinal Amebiasis,[Chloroquine]
1147,Interdigital Tinea Pedis,[Sertaconazole]
1148,Incomplete Abortion,[Misoprostol]
1149,Refractory aspergillosis,[Amphotericin B]
1150,Short Stature,[Somatotropin]
1151,Hypotrichosis of the eyelashes,[Bimatoprost]
1152,Refractory Diffuse Large B Cell Lymphoma,[Lenalidomide]
1153,Delayed engraftment,[Sargramostim]
1154,"No primary neurologial disease, idiopathic decreased mental activity",[Dihydroergocristine]
1155,Recurrent epithelial keratitis caused by herpes simplex 2,[Trifluridine]
1156,Chronic otitis externa,[Clioquinol]
1157,Hypertonicity disorders of the 7th nerve,[Botulinum toxin type A]
1158,Periarteritis nodosa,[Tetracosactide]
1159,Symptomatic Bradycardia,[Isoprenaline]
1160,Bone Loss,[Denosumab]
1161,Endogenous depression,[Amoxapine]
1162,Coccidioidal meningitis,[Itraconazole]
1163,Moderate Depressed mood,[Perphenazine]
1164,"Asymptomatic, metastatic hormone-refractory Prostate cancer",[Sipuleucel-T]
1165,Allergic edema,[Promethazine]
1166,Kaposi's Sarcoma AIDS Related,[Doxorubicin]
1167,Sialorrhea caused by clozapine,[Clonidine]
1168,Amnesia,[Methotrimeprazine]
1169,Primary prevention Coronary artery disease,[Lovastatin]
1170,Hospitalization due to cardiac failure,[Valsartan]
1171,Acute Bacterial Skin and Skin Structure Infections caused by Staphylococcus haemolyticus,[Delafloxacin]
1172,Bacterial Infection caused by Proteus species,[Kanamycin]
1173,Benzodiazepine Withdrawal,[Dexmedetomidine]
1174,Meningoencephalitic stage Trypanosoma brucei gambiense infection,[Eflornithine]
1175,Severe behavioural problems,[Chlorpromazine]
1176,Vomiting,[Doxylamine]
1177,Discomfort,[Methocarbamol]
1178,Poisoning caused by organophosphorus pesticides,[Atropine]
1179,Functional bowel syndrome,[Dicyclomine]
1180,Refractory CNS malignancy,[Topotecan]
1181,Cutaneous candidiasis caused by candida spp.,[Ketoconazole]
1182,Recurrent Dermatofibrosarcoma protuberans,[Imatinib]
1183,First-degree burn,[St. John's Wort]
1184,Bacterial Infection of the umbilical cord area,[Gentian violet cationCommonly known or available as Gentian Violet]
1185,Unresponsive Asystole,[Epinephrine]
1186,Infantile Eczema,[Clioquinol]
1187,Tertiary syphilis,[Procaine benzylpenicillin]
1188,Salmonella Infections,[Cefixime]
1189,"Multiple Sclerosis, Primary Progressive",[Ocrelizumab]
1190,Amino acid catabolism disorder,[Oxandrolone]
1191,Neurocysticercosis caused by Taenia solium,[Albendazole]
1192,Uncomplicated Enterococcal urinary tract infection,[Fosfomycin]
1193,Genitourinary smooth muscle spasm,[Butylscopolamine]
1194,Anaphylactic Reaction,[Promethazine]
1195,Cardiac Arrest,[Isoprenaline]
1196,Refractory Ovarian cancer,[Capecitabine]
1197,FIP1L1-PDGFRα fusion kinase status unknown Chronic eosinophilic leukemia,[Imatinib]
1198,Advanced Head and Neck Squamous Cell Carcinoma,[Temoporfin]
1199,Secondary subarachnoid hemorrhage,[Aminocaproic Acid]
1200,Upper Limb Spasticity,[Botulinum toxin type A]
1201,Deep Venous Thrombosis,[Dabigatran etexilate]
1202,Heterotropic ossification,[Etidronic acid]
1203,Severe Intra-abdominal Infections,[Ertapenem]
1204,Tick-borne fever,[Doxycycline]
1205,Facial hyperpigmentation,[Tazarotene]
1206,Throat irritation,[Phenol]
1207,Moderate Toxoplasma gondii encephalitis,[Dapsone]
1208,Acute atopic conjunctivitis,[Lodoxamide]
1209,Lipodystrophies,[Tesamorelin]
1210,Non-Hodgkin’s lymphoma,[Cladribine]
1211,Gonadotrophin releasing hormone deficiency,[Fluoxymesterone]
1212,Cytomegalovirus viremia,[Human cytomegalovirus immune globulin]
1213,Febrile Convulsions,[Phenobarbital]
1214,Refractory to surgical techniques Bleeding,[Thrombin]
1215,Moderate Erythema nodosum leprosum,[Thalidomide]
1216,"Moderate, severe Non-nodular acne vulgaris",[Sarecycline]
1217,Epididymo-orchitis gonococcal,[Doxycycline]
1218,Infection Transmission,[Valaciclovir]
1219,Intertrigo,[Clioquinol]
1220,Acute Duodenal Ulcers,[Famotidine]
1221,Parasitic infection NOS,[Metronidazole]
1222,Perioperative bleeding caused by Factor X Deficiency,[Coagulation factor X human]
1223,Symptomatic Neurogenic Orthostatic Hypotension,[Droxidopa]
1224,Arthritis gonococcal,[Ceftriaxone]
1225,Candida intertrigo,[Fluconazole]
1226,Anal Carcinoma,[Mitomycin]
1227,Angioneurotic Edema,[Epinephrine]
1228,Serum triglycerides increased,[Atorvastatin]
1229,Erythema Chronicum Migrans,[Phenoxymethylpenicillin]
1230,Metastatic MSI-H/dMMR colorectal cancer,[Ipilimumab]
1231,Anemia caused by Zidovudine,[Erythropoietin]
1232,Hypocitraturic calcium oxalate nephrolithiasis,[Potassium Citrate]
1233,Cryopyrin-associated Periodic Syndromes (CAPS),[Rilonacept]
1234,Growth Hormone Gene Deletion,[Mecasermin rinfabate]
1235,Mild urticaria,[Triprolidine]
1236,Airway Obstruction,[Glycopyrronium]
1237,Spinal Muscular Atrophy (SMA),[Nusinersen]
1238,Mild Crohn’s Disease,[Budesonide]
1239,Drug Withdrawal Headache,[Tizanidine]
1240,Lactose Intolerance,[Tilactase]
1241,Malignant Hypertension,[Fenoldopam]
1242,Akinetic seizures,[Clonazepam]
1243,Mild Toxoplasma gondii encephalitis,[Dapsone]
1244,Severe Diarrhea predominant irritable bowel syndrome,[Alosetron]
1245,Oral Lichen Planus,[Tacrolimus]
1246,Severe Bacterial Urinary Tract Infections,[Sulfamethoxazole]
1247,Keratitis bacterial,[Gentamicin]
1248,Severe Convulsion,[Pentobarbital]
1249,Morbidity,[Acetylsalicylic acidCommonly known or available as Aspirin]
1250,Bacterial Infection caused by Klebsiella Pneumoniae,[Kanamycin]
1251,Ureteric calculus,[Doxazosin]
1252,Iron Deficiency,[Iron]
1253,Susceptible Intra-Abdominal Infection caused by suceptible Gram-negative microorganism,[Ceftazidime]
1254,High risk cardiovascular event,[Ramipril]
1255,Refractory Eczema of the hand,[Alitretinoin]
1256,Hydatid disease caused by Echinococcus granulosus,[Albendazole]
1257,B-cell chronic lymphocytic leukemia/prolymphocytic leukemia/small lymphocytic lymphoma refractory,[Fludarabine]
1258,Corneal Edema,[Sodium chloride]
1259,Refractory Mantle Cell Lymphoma,[Bendamustine]
1260,Hypophysectomy,[L-Arginine]
1261,Locally advanced lung origin Progressive Neuroendocrine Tumors,[Everolimus]
1262,Moderate Streptococcal tonsillitis,[Cefuroxime]
1263,Chronic Prostatitis caused by Proteus mirabilis,[Ciprofloxacin]
1264,Advanced Sarcoma,[Carboplatin]
1265,Relapsed B-cell precursor Acute Lymphoblastic Anemia,[Inotuzumab ozogamicin]
1266,Benign facial lentigines,[Tazarotene]
1267,UTI caused by Serratia marcescens,[Ciprofloxacin]
1268,Staphylococcus aurea colonization of the nasal passage,[Mupirocin]
1269,Colic,[Hyoscyamine]
1270,Childhood-onset Growth Hormone Deficiency,[Somatotropin]
1271,Emphysema,[Alpha-1-proteinase inhibitor]
1272,Red eyes,[Oxymetazoline]
1273,"Pain, Inflammatory",[Flurbiprofen]
1274,Pseudophakic Cystoid Macular Edema,[Ketorolac]
1275,UTI caused by Citrobacter frendii,[Ciprofloxacin]
1276,Mouth irritation,[Dyclonine]
1277,"Anorexia, weight loss, AIDS",[Dronabinol]
1278,"Refractory, advanced Sezary Syndrome",[Temozolomide]
1279,Psychotic state,[Reserpine]
1280,Pyelitis,[Norfloxacin]
1281,Type 1 Mucopolysaccharidosis,[Laronidase]
1282,Acute Bacterial Skin and Skin Structure Infections caused by streptococcus pyogenes,[Delafloxacin]
1283,"Pruritic, corticosteroid responsive, Inflammatory Dermatosis",[Hydrocortisone butyrate]
1284,Rheumatoid arthritis flare up,[Tolmetin]
1285,Severe drug hypersensitivity reactions,[Betamethasone]
1286,Symptomatic Paget's disease,[Salmon Calcitonin]
1287,Uncomplicated veins 1 to 3 mm in diameter reticular veins,[Polidocanol]
1288,Gastric Carcinoma,[Doxorubicin]
1289,Advanced dopaminomimetic psychosis,[Clozapine]
1290,Primary Nocturnal Enuresis,[Desmopressin]
1291,Pathological gastric hypersecretion,[Ranitidine]
1292,Ophthalmia neonatorum due to gonococcus,[Ceftriaxone]
1293,Previously treated with an HCV regimen containing sofosbuvir without an NS5A inhibitor Chronic hepatitis C genotype 1a,[Voxilaprevir]
1294,Metastatic Anal cancer,[Cisplatin]
1295,Dementia Alzheimer's Type,[Galantamine]
1296,Impetigo caused by Staphylococccus aureus,[Mupirocin]
1297,Poisoning by parasympathomimetics (cholinergics),[Atropine]
1298,Thyrotoxic crisis,[Propylthiouracil]
1299,Bacterial corneal ulcer,[Gentamicin]
1300,Mucopolysaccharidosis Type IVA,[Elosulfase alfa]
1301,Agnogenic Myeloid Metaplasia,[Oxymetholone]
1302,Relapsed Wilm's tumor,[Cyclophosphamide]
1303,Lower respiratory tract infection caused by Enterobacter cloacae,[Ciprofloxacin]
1304,Biliary tract infection bacterial,[Cefazolin]
1305,Nasal Congestion Associated With the Common Cold,[Ipratropium]
1306,Advanced deleterious germline or somatic BRCA-mutated fallopian tube cancer,[Olaparib]
1307,Acute Decompensated Heart Failure (ADHF),[Nesiritide]
1308,Adams-Stokes Syndrome,[Isoprenaline]
1309,Perioperative nausea and vomiting,[Promethazine]
1310,Salivary secretions,[Hyoscyamine]
1311,Severe Cryptococcosis,[Amphotericin B]
1312,Minor ache,[Choline salicylate]
1313,Metastatic gastroesphageal juntion adenocarcinoma,[Pembrolizumab]
1314,Nonsquamous cell Non-small cell lung cancer,[Bevacizumab]
1315,Postoperative ocular pain,[Ketorolac]
1316,Nocturia,[Desmopressin]
1317,Substance Abuse Disorders,[Mirtazapine]
1318,"Infertility, Female",[Progesterone]
1319,Hyperacidity,[Magaldrate]
1320,Lymphoblastic lymphoma (Precursor T-lymphoblastic lymphoma/leukemia) refractory,[Nelarabine]
1321,Gout Flares,[Colchicine]
1322,Non-neutropenic Candidemia,[Voriconazole]
1323,Refractory Polycythemia vera,[Ruxolitinib]
1324,Pituitary gonadotropin hypofunction,[Fluoxymesterone]
1325,Giant Cells Arteritis,[Prednisone]
1326,Corneal Abrasions,[Framycetin]
1327,Hemorrhagic cystitis caused by cyclophosphamide,[Coenzyme M]
1328,Inflammatory lesions caused by rosacea,[Azelaic acid]
1329,Steroid resistant hepatic transplant rejection,[Muromonab]
1330,UTI caused by Citrobacter diversus,[Ciprofloxacin]
1331,"Infections, Respiratory Syncytial Virus",[Palivizumab]
1332,Severe Respiratory Syncytial Virus Infection,[Ribavirin]
1333,Somatization Disorder,[St. John's Wort]
1334,Atherothrombotic cerebral infarction,[Acetylsalicylic acidCommonly known or available as Aspirin]
1335,Accommodative component in esotropia,[Echothiophate]
1336,Severe Allergic Reactions,[Bupivacaine]
1337,Postoperative Hypertension,[Esmolol]
1338,Dermabrasion,[St. John's Wort]
1339,Sexually Transmitted Disease (STD),[Tinidazole]
1340,Psychomotor Agitation,[Hydroxyzine]
1341,Septicemia bacterial anaerobic,[Metronidazole]
1342,Itching of the perianal area,[Pramocaine]
1343,Primary prevention Myocardial infarction,[Lovastatin]
1344,Neutropenia-related sequelae,[Filgrastim]
1345,Non-venereal endemic syphilis,[Procaine benzylpenicillin]
1346,Runny nose,[Mepyramine]
1347,Acute Pelvic inflammatory disease,[Ofloxacin]
1348,Severe Osteoporosis,[Strontium ranelate]
1349,Bacterial ocular infections,[Moxifloxacin]
1350,Genital infection,[Cefazolin]
1351,Primary adrenocoritical insufficiency,[Prednisolone]
1352,Other specified protozoal diseases,[Albendazole]
1353,Severe cerebral origin Spasticity,[Baclofen]
1354,Refractory Status Epilepticus,[Topiramate]
1355,Corneal Ulcers caused by Staphylococcus epidermidis,[Ciprofloxacin]
1356,Cancer-associated hypercalcemia,[Bupivacaine]
1357,Stasis dermatitis,[Clioquinol]
1358,Locally advanced Thymoma,[Etoposide]
1359,Ventilator-associated Bacterial Pneumonia caused by susceptible Gram-negative microorganisms,[Ceftazidime]
1360,"Dermatitis, Chronic",[Bendazac]
1361,Corneal Ulcers caused by Streptococcus Viridans Group,[Ciprofloxacin]
1362,High grade newly diagnosed Glioma,[Carmustine]
1363,Rectal infection,[Doxycycline]
1364,Pustular acne,[Gentamicin]
1365,Dermo-hypodermitis,[Bendazac]
1366,Refractory Cervical cancer,[Bevacizumab]
1367,Kidney Diseases,[Iothalamic acid]
1368,Stage I Mycosis Fungoides,[Mechlorethamine]
1369,Manic syndromes,[Thioproperazine]
1370,Recurrent Herpes simplex of the oral-labial,[Famciclovir]
1371,Intra-abdominal abscesses,[Caspofungin]
1372,Vaccinia virus ophthalmic infections,[Trifluridine]
1373,Localized soft tissue rheumatism,[Diclofenac]
1374,Hidradenitis Suppurativa (HS),[Etanercept]
1375,Severe Hidradenitis Suppurativa,[Adalimumab]
1376,Uncomplicated veins <1 mm in diameter Spider Veins,[Polidocanol]
1377,Post Essential Thrombocythemia Myelofibrosis,[Ruxolitinib]
1378,Aldosteronism,[Captopril]
1379,Metastatic Rhabdomyosarcoma,[Topotecan]
1380,Locally Advanced Pancreatic Adenocarcinoma,[Gemcitabine]
1381,Bronchiolitis obliterans organizing pneumonia,[Prednisone]
1382,Complicated Urinary Tract Infection caused by Escherichia Coli,[Vaborbactam]
1383,Rectal Carcinoma,[Fluorouracil]
1384,"Chronic, symptomatic Hyperuricemia",[Febuxostat]
1385,"Urinary Tract Infection caused by Klebsiella Species, enterobacter species, Morganella morganii, Proteus mirabilis, Proteus vulgaris, Escherichia Coli",[Trimethoprim]
1386,Malignancies,[Fludeoxyglucose F-18]
1387,"Symptomatic Tinea Corporis caused by Trichophyton mentagrophytes, Trichophyton rubrum, Epidermophyton floccosum",[Clotrimazole]
1388,Coronary Artery Spasm,[Nitroglycerin]
1389,Mucocutaneous candida infection,[Nystatin]
1390,Pasteurella infections,[Benzylpenicillin]
1391,Moderate renal transplant rejection,[Sirolimus]
1392,Moderate Bleeding,[Fibrinogen Human]
1393,Mild Metabolic acidosis,[Lactic acid]
1394,Uncomplicated Malaria,[Mefloquine]
1395,Breast Adenocarcinoma,[Thiotepa]
1396,Stage T3 carcinoma of the prostate,[Goserelin]
1397,Acute Bacterial Skin and Skin Structure Infections caused by MRSA,[Delafloxacin]
1398,Gonococcal cervicitis,[Norfloxacin]
1399,Opioid Intoxication,[Nalmefene]
1400,Refractory indolent B cell non-hodgkin lymphoma,[Bendamustine]
1401,Water retention,[Bromotheophylline]
1402,Mild Dermatitis caused by Staphylococcus aureusis,[Fusidic acid]
1403,"Resectable, nonmetastatic Osteosarcoma",[Mifamurtide]
1404,Barium poisoning,[Magnesium sulfate]
1405,X-linked hypophosphataemia,[Burosumab]
1406,Sexual dysfunction caused by fluoxetine,[Cyproheptadine]
1407,Muscle Contraction,[Acetylsalicylic acidCommonly known or available as Aspirin]
1408,Fascioliasis,[Triclabendazole]
1409,Non-hemorrhagic stroke,[Danaparoid]
1410,Metastatic Dermatofibrosarcoma protuberans,[Imatinib]
1411,Melasma,[Hydroquinone]
1412,"Refractory, metastatic MSI-H/dMMR colorectal cancer",[Nivolumab]
1413,Solid organ rejection,[Prednisone]
1414,Infective otitis externa,[Chlorobutanol]
1415,Hypokalemia caused by diuretics,[Hydrochlorothiazide]
1416,Lower respiratory tract infection caused by Haemophilus parainfluenzae,[Ciprofloxacin]
1417,Enterocolitis caused by Staphylococcus aureus,[Vancomycin]
1418,Acute Depression,[Amitriptyline]
1419,Delayed chemotherapy induced naused and vomiting,[Rolapitant]
1420,Functional disorders of the biliary tract,[Pinaverium]
1421,Severe Seborrhoeic dermatitis,[Prednisolone]
1422,Lysosomal Acid Lipase Deficiency,[Sebelipase alfa]
1423,Cold urticaria,[Cyproheptadine]
1424,Monkeypox,[Cidofovir]
1425,Locally advanced untreated non small cell lung cancer,[Docetaxel]
1426,Rat bite fever,[Benzylpenicillin]
1427,"Vaginitis caused by Trichomonas Vaginalis, candida albicans",[Acetarsol]
1428,Hyperbilirubinemia,[Phenobarbital]
1429,Liver fluke infection,[Praziquantel]
1430,Methadone withdrawal,[Clonidine]
1431,Colorectal Adenomas,[Acetylsalicylic acidCommonly known or available as Aspirin]
1432,Metastatic Endometrial carcinoma,[Medroxyprogesterone acetate]
1433,UTI caused by Entercococcus faecalis,[Ciprofloxacin]
1434,Facial hypopigmentation,[Tazarotene]
1435,Thrombocythemia,[Anagrelide]
1436,Metastatic gastrointestinal origin Progressive Neuroendocrine Tumors,[Everolimus]
1437,Facial erythema,[Brimonidine]
1438,Recurrent calcium oxalate calculi,[Allopurinol]
1439,Nonmetastatic Prostate Cancer,[Apalutamide]
1440,Hypoprothrombinemias,[PhylloquinoneCommonly known or available as Vitamin K1]
1441,Postsurgical craniopharyngioma,[L-Arginine]
1442,Perinatal-onset Hypophosphatasia,[Asfotase alfa]
1443,Extrapyramidal disorders,[Trihexyphenidyl]
1444,Severe Hodgkin Lymphoma,[Melphalan]
1445,"Reflux, Gastroesophageal",[Metoclopramide]
1446,Locally advanced nonsquamous non-small cell lung cancer,[Pemetrexed]
1447,Acute Bacterial Skin and Skin Structure Infections caused by MSSA,[Delafloxacin]
1448,Secondary prevention MI,[Verapamil]
1449,Hemiballismus,[Tetrabenazine]
1450,Advanced biliary adenocarcinoma,[Oxaliplatin]
1451,Community aquired pneumonia caused by H. parainfluenzae,[Cefdinir]
1452,Severe Depression,[Amitriptyline]
1453,Metastatic Uterine cancer,[Anastrozole]
1454,Without cirrhosis Chronic hepatitis C genotype 1a,[Paritaprevir]
1455,Without cirrhosis Chronic hepatitis C genotype 1b,[Paritaprevir]
1456,Sodium retention,[Hydrochlorothiazide]
1457,Mild Vascular dementia,[Memantine]
1458,Locally advanced Squamous cell carcinoma of head and neck,[Docetaxel]
1459,Ocular Itching,[Ketorolac]
1460,Severe Hyperemesis gravidarum,[Ondansetron]
1461,Tardive Dyskinesia caused by neuroleptic drugs,[Benzatropine]
1462,"Refractory, locally advanced Non-small cell lung cancer",[Ceritinib]
1463,Advanced non-Hodgkin lymphoma,[Methotrexate]
1464,Drug-induced Respiratory depression,[Doxapram]
1465,UTI caused by Morganella morganii,[Ciprofloxacin]
1466,Skin rashes,[Camphor]
1467,Cytomegalovirus neurological disease,[Ganciclovir]
1468,Vasculopathic dermatitis,[Bendazac]
1469,Breast Cancer Metastatic,[Gemcitabine]
1470,Metastatic Thymic Cancer,[Etoposide]
1471,Hookworm Infection,[Albendazole]
1472,Chronic Migraine,[Botulinum toxin type A]
1473,Gastric bezoar,[Metoclopramide]
1474,"Tuberculosis, Multidrug Resistant",[Bedaquiline]
1475,Acid Reflux,[Oxetacaine]
1476,Uterine Contractions,[Epinephrine]
1477,Flexor spasm,[Baclofen]
1478,Poststroke depression,[Mirtazapine]
1479,Neutrophil suppression,[Filgrastim]
1480,Secondary gout,[Allopurinol]
1481,Aspiration,[Magaldrate]
1482,Social Phobia,[Mirtazapine]
1483,Vaginal atrophy with infection,[Chlorquinaldol]
1484,"Refractory, relapsed Mediastinal Large B-cell Lymphoma",[Pembrolizumab]
1485,"Refractory, metastatic Urothelial Carcinoma",[Nivolumab]
1486,Severe Fungal infection caused by Basidiobolus spp.,[Amphotericin B]
1487,Hypoperfusion,[Isoprenaline]
1488,Thyroid tissue remnants,[Thyrotropin alfa]
1489,Refractory falopian tube cancer,[Capecitabine]
1490,Conjunctivitis gonococcal neonatal,[Ceftriaxone]
1491,Infective pulmonary exacerbation of cystic fibrosis,[Amikacin]
1492,Non-familial hypercholesterolemia,[Atorvastatin]
1493,Cryptosporidiosis infection,[Nitazoxanide]
1494,Mycobacterium marinum infection,[Streptomycin]
1495,Spastic colitis,[Hyoscyamine]
1496,Postpericardiotomy Syndrome,[Colchicine]
1497,Metastatic pancreatic endocrine carcinoma,[Capecitabine]
1498,Isosporiasis,[Sulfamethoxazole]
1499,Chronic Graft Versus Host Disease,[Thalidomide]
1500,Dementia due to Parkinson's disease,[Donepezil]
1501,"Respiratory Symptoms caused by Cystic fibrosis, Pseudomonas aeruginosa infection",[Aztreonam]
1502,Suicidal Behaviour,[Clozapine]
1503,Neovascular Age-Related Macular Degeneration,[Pegaptanib]
1504,Normal Tension Glaucoma,[Dipivefrin]
1505,Previously treated with an HCV regimen containing an NS5A inhibitor Chronic hepatitis C genotype 6,[Voxilaprevir]
1506,Severe Uterine Fibroids,[Ulipristal]
1507,Acute Pulmonary Embolism,[Fondaparinux]
1508,Fat occlusion in central venous catheter,[Ethanol]
1509,Supraspinatus tendinitis,[Meclofenamic acid]
1510,Curarization therapy,[Neostigmine]
1511,Severe Depressed mood,[Perphenazine]
1512,Takayasu's Disease,[Prednisone]
1513,Testicular Cancer,[Bleomycin]
1514,Acute Cluster headaches,[Sumatriptan]
1515,Secondary Adrenal Insufficiency,[Prednisolone]
1516,Tinea Corporis caused by Trichophyton rubrum,[Ketoconazole]
1517,"Symptomatic Tinea Cruris caused by Trichophyton mentagrophytes, Trichophyton rubrum, Epidermophyton floccosum",[Clotrimazole]
1518,Acute Otitis Media caused by Haemophilus Influenzae,[Erythromycin]
1519,"Chronic, stable, symptomatic Heart Failure",[Ivabradine]
1520,Acute iron intoxication,[Deferoxamine]
1521,Proctitis,[Sulfasalazine]
1522,Idiopathic Hyperprolactinemia,[Quinagolide]
1523,"Influenza A, Influenza B",[Oseltamivir]
1524,Primary keratoconjunctivitis caused by herpes simplex virus type 2,[Trifluridine]
1525,Pinta,[Procaine benzylpenicillin]
1526,Refractory CNS lymphoma,[Topotecan]
1527,Diarrhoea Predominant Irritable Bowel Syndrome,[Eluxadoline]
1528,Moderate Hidradenitis Suppurativa,[Adalimumab]
1529,"Refractory, locally advanced Basal cell carcinoma",[Sonidegib]
1530,Androgen-dependent tumor Advanced Prostate Carcinoma,[Conjugated estrogens]
1531,"Acute, uncomplicated Malaria",[Chloroquine]
1532,Plantar Warts,[Salicylic acid]
1533,Acute Sore Throat,[Benzydamine]
1534,Cardiac Decompensation,[Dobutamine]
1535,"Non-small Cell Lung Cancer (NSCLC), Stage IV",[Gemcitabine]
1536,Burkholderia pseudomallei infection,[Sulfamethoxazole]
1537,UTI caused by Providencia rettgeri,[Ciprofloxacin]
1538,Rubeola,[Rubella virus vaccine]
1539,Acute Bacterial Skin and Skin Structure Infections caused by Streptococcus intermedius,[Delafloxacin]
